ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.0.0,true,service,service.address,keyword,extended,,172.26.0.2:5432,Address of this service.
8.0.0,true,service,service.environment,keyword,extended,,production,Environment of the service.
8.0.0,true,service,service.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this service.
8.0.0,true,service,service.id,keyword,core,,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6,Unique identifier of the running service.
8.0.0,true,service,service.name,keyword,core,,elasticsearch-metrics,Name of the service.
8.0.0,true,service,service.node.name,keyword,extended,,instance-0000000016,Name of the service node.
8.0.0,true,service,service.origin.address,keyword,extended,,172.26.0.2:5432,Address of this service.
8.0.0,true,service,service.origin.environment,keyword,extended,,production,Environment of the service.
8.0.0,true,service,service.origin.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this service.
8.0.0,true,service,service.origin.id,keyword,core,,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6,Unique identifier of the running service.
8.0.0,true,service,service.origin.name,keyword,core,,elasticsearch-metrics,Name of the service.
8.0.0,true,service,service.origin.node.name,keyword,extended,,instance-0000000016,Name of the service node.
8.0.0,true,service,service.origin.state,keyword,core,,,Current state of the service.
8.0.0,true,service,service.origin.type,keyword,core,,elasticsearch,The type of the service.
8.0.0,true,service,service.origin.version,keyword,core,,3.2.4,Version of the service.
8.0.0,true,service,service.state,keyword,core,,,Current state of the service.
8.0.0,true,service,service.target.address,keyword,extended,,172.26.0.2:5432,Address of this service.
8.0.0,true,service,service.target.environment,keyword,extended,,production,Environment of the service.
8.0.0,true,service,service.target.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this service.
8.0.0,true,service,service.target.id,keyword,core,,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6,Unique identifier of the running service.
8.0.0,true,service,service.target.name,keyword,core,,elasticsearch-metrics,Name of the service.
8.0.0,true,service,service.target.node.name,keyword,extended,,instance-0000000016,Name of the service node.
8.0.0,true,service,service.target.state,keyword,core,,,Current state of the service.
8.0.0,true,service,service.target.type,keyword,core,,elasticsearch,The type of the service.
8.0.0,true,service,service.target.version,keyword,core,,3.2.4,Version of the service.
8.0.0,true,service,service.type,keyword,core,,elasticsearch,The type of the service.
8.0.0,true,service,service.version,keyword,core,,3.2.4,Version of the service.
